Day,Platform,Format,Copy,Hashtags,Quality Score,Status
1,linkedin,caption,"PlutoApp's approach: we focus on meaningful conversations, not just height and age. Our users get 5 real questions upfront, helping you find someone who's a genuine match. Ready to find a real match? Let's try Pluto – no swiping, just connections that matter.",#PlutoApp #MeaningfulConversations #RealConnections,0.73,validated
2,instagram,caption,"Tired of mindless swiping? You've been there – hundreds of profiles, zero connections. We're different. Before you see a single match on Pluto, we ask the real questions that actually matter. Like, how do you handle disagreements? What's your ideal weekend like? What gets you pumped about life? The kind of stuff that goes beyond 'I love hiking.' If you're down for a more authentic experience, join us. Want to know what real connections look like? Check out our community and see for yourself. Link in bio to our community guide.",#authenticconnections ##plutoapp #meaningfulrelationships,0.74,validated
3,twitter,caption,Ever wonder how we match people on Pluto? We don't just look at height or job titles. We ask about how you handle disagreements. What does your ideal weekend look like? We start with real questions so you meet someone worth your time.,#IndianDating,0.84,validated
4,linkedin,caption,"I've been on countless bad dates, swiping through profiles for hours on end. But the problem isn't the app – it's how we approach relationships. We're not just looking for someone who shares our interests; we're searching for someone who's worth our time. That's why Pluto starts with real questions that actually matter, like how you handle disagreements or what your ideal weekend looks like. Ready to start your search? Let's get started with Pluto.",#PlutoApp #DatingApp #RelationshipGoals,0.65,validated
5,instagram,caption,"Did you know that 70% of people are tired of shallow conversations on dating apps? 🌈 It's time to rethink what matters in a relationship. At Pluto, we believe in going beyond surface-level stuff. We ask real questions before you even see a profile - like, how do you handle disagreements? What's your ideal weekend like? These are the things that'll make or break a relationship, and we're not afraid to get real about it.

I was tired of swiping through endless possibilities, until I found someone who shared my passion for hiking. Join us to find your own adventure. We're a platform for everyone, built by a community that understands the importance of meaningful connections. No shallow conversations, no endless swiping. Just real people looking for real connections. 

Ready to find someone worth your time? Join us on Pluto. Link in bio to get started!",##MeaningfulConnections ##RealPeople ##NoShallowConversations,0.58,validated
5,twitter,caption,"Holi is for celebrating love, not endless swiping. Ready to meet someone worth your time? We start with real questions, not just height or job title. What's your ideal weekend look like? What makes you happy? Ask us on Pluto",#HoliWithPluto,0.83,validated
6,linkedin,caption,"Real conversations start with real questions. We don't care about your height or what you do for a living. We care about what makes you tick. Made in India, made for India. Want to know how our algorithm works? We use your answers to match you with people who share your values.",#DatingApp #RelationshipGoals #IndianDating,0.82,validated
7,instagram,caption,"Tired of ghosting and shallow matches? 😴 We get it. At Pluto, we're all about real connections. We ask real questions before you even see a profile, because what's the point of swiping if it's just gonna lead to nothing? Want to meet someone who's actually worth your time? We're building a community that's not just about matching – it's about people who actually care about each other. Join us, and let's skip the nonsense. Tag a friend who's ready to take the leap, and let's get real about dating.",#PlutoApp #RealConnections #NoGhosting,0.73,validated
8,twitter,tweet,"Our dev team of 12+ Indian engineers has poured over 10k hours into building a platform that's Made in India, for real people. Want to meet the faces behind the code? DM us.",#IndianTech #MadeForIndia,0.66,validated
9,linkedin,caption,"Meet Rohan and Rukmini, a couple who found love on PlutoApp after ditching the endless swipes. What sets us apart? No pointless questions about height, hobbies, or interests. We want to know how you handle life's real stuff – disagreements, big plans, or quiet nights in. That's how we help you find real connections that last. What's your favorite PlutoApp feature that helped you find love?",#LoveOnPlutoApp #RealConnectionsMatter,0.63,validated
10,instagram,caption,"We're not here for small talk. We want to know the things that make you weirdly wonderful, like what weird foods you love, or what's the craziest thing you've ever done on a whim? 
   At Pluto, we're building a community that's a little quirky, a little weird, and a lot authentic. Welcome to the weirdos, misfits, and anyone in between, where real conversations start with real questions.
   Ready to meet someone who gets you? Click here to learn more: [link in bio] #PlutoApp #FindYourVibe",#PlutoApp #FindYourVibe,0.73,validated
11,twitter,caption,Want love that lasts? 60% of users say they're over shallow connections. Our new feature digs deeper with real questions - so you can find someone who's on the same page.,#PlutoAppLove,0.57,validated
12,linkedin,caption,"Let's face it: most online communities are just shallow profiles and awkward conversations. Not ours. We're a place where people can be their authentic selves, without pretenses or filters. Our community is built on trust and genuine connections.",#plutolife #authenticcommunity,0.73,validated
13,instagram,caption,"Sunday Funday in reverse? Swiping through profiles just to meet someone feels like the ultimate bummer. We ditched the usual approach and started asking real questions upfront. No more ghosting, no pointless conversations. What's your perfect Sunday? Do you value honesty over looks? Our approach weeds out the noise. We're not looking for options, we're looking for people who actually matter. If that's what you want too, we're a good match. Link in bio to download Pluto, and let's start this weekend right.🌞",#RealConnectionsMatter #SundayVibes #PlutoApp,0.66,validated
13,twitter,caption,"We ditched the usual height and age questions to find out what really matters: your passions. If you're looking for someone who shares your love for adventure, your weird sense of humor, or your favorite books, we've got you. If that's you, join our community.",#MadeInIndiaMadeForIndia,0.63,validated
14,linkedin,caption,"PlutoApp: a breath of fresh air in dating app world. 1 in 5 Indians are tired of shallow connections. We get it. That's why we're not about swiping through profiles or pretending to be someone you're not. Instead, we ask simple, real questions that help you find someone who shares your values, interests, and lifestyle. Designed with India's unique needs in mind, our platform prioritizes meaningful relationships. So, are you ready to ditch the shallow connections and start a genuine conversation with someone who matters?",#PlutoApp #DatingApp #MeaningfulRelationships #India,0.73,validated
15,twitter,tweet,"Tired of shallow matches? We're made in India, for India. No bots, no fake profiles. Ask us anything before you match and focus on real connections.",#PlutoAppIndia,0.85,validated
16,instagram,caption,"Dating apps got you down? You're not alone. Most of us have been there - swiping through profiles, getting nowhere, and feeling like a number, not a person. 
   At Pluto, we're different. We ditch the matches and swipes for real conversations that actually matter. We ask you about your passions, how you handle tough conversations, and what makes you, you.
   Our goal is to help you meet someone who's more than just a match - someone who's worth your time. We're not just talking about any connection; we're talking about real relationships that last. 
   If you're tired of the usual dating app experience, we're here for you. We're made in India, built by people who understand what you're looking for. Let's get started and find someone who gets you, without the games or the stress.",##realconnections ##datingsimplified ##madeinindia,0.76,validated
